id,rooms,sqft_house,sqft_lot,sqft_basement,floors,condition,yr_built,renovated,price,,,
1,3,1180,5650,0,1,3,1955,0,221900,,,
2,3,2570,7242,400,2,3,1951,1,538000,,id,
3,2,770,10000,0,1,3,1933,0,180000,,rooms,מספר חדרים
4,4,1960,5000,910,1,5,1965,0,604000,,sqft_house,גודל הבית בSquare Feet
5,3,1680,8080,0,1,3,1987,0,510000,,sqft_lot,גודל המגרש בSquare Feet
6,4,5420,101930,1530,1,3,2001,0,1.23E+06,,sqft_basement,גודל המרתף בSquare Feet
7,3,1715,6819,0,2,3,1995,0,257500,,floors,מספר הקומות בנכס
8,3,1060,9711,0,1,3,1963,0,291850,,condition,"מצב הנכס (1-לא טוב, 5- טוב מאוד)"
9,3,1780,7470,730,1,3,1960,0,229500,,yr_built,השנה בה הנכס נבנה
10,3,1890,6560,0,2,3,2003,0,323000,,renovated,"האם הנכס שופץ (1-כן, 0-לא)"
11,3,3560,9796,1700,1,3,1965,0,662500,,price,מחיר מכירה של הנכס בדולר (משתנה מוסבר)
12,2,1160,6000,300,1,4,1942,0,468000,,,
13,3,1430,19901,0,3,4,1927,0,310000,,,
14,3,1370,9680,0,1,4,1977,0,400000,,,
15,5,1810,4850,0,2,3,1900,0,530000,,,
16,4,2950,5000,970,2,3,1979,0,650000,,,
17,3,1890,14040,0,2,3,1994,0,395000,,,
18,4,1600,4300,0,1,4,1916,0,485000,,,
19,2,1200,9850,0,1,4,1921,0,189000,,,
20,3,1250,9774,0,1,4,1969,0,230000,,,
21,4,1620,4980,760,1,4,1947,0,385000,,,
22,3,3050,44867,720,1,3,1968,0,2.00E+06,,,
23,5,2270,6300,0,2,3,1995,0,285000,,,
24,2,1070,9643,0,1,3,1985,0,252700,,,
25,3,2450,6500,0,2,4,1985,0,329000,,,
26,3,1710,4697,0,1,5,1941,0,233000,,,
27,3,2450,2691,700,2,3,1915,0,937000,,,
28,3,1400,1581,0,1,5,1909,0,667000,,,
29,3,1520,6380,730,1,3,1948,0,438000,,,
30,4,2570,7173,0,2,3,2005,0,719000,,,
31,3,2320,3980,0,2,3,2003,0,580500,,,
32,2,1190,1265,0,3,3,2005,0,280000,,,
33,4,2330,5000,820,2,4,1929,0,687500,,,
34,3,1090,3000,0,3,4,1929,0,535000,,,
35,4,2060,6659,780,1,3,1981,0,322500,,,
36,3,2300,3060,790,2,3,1930,1,696000,,,
37,4,1660,34848,730,1,1,1933,0,550000,,,
38,4,2360,6000,0,2,4,1904,0,640000,,,
39,4,1220,8075,330,1,2,1969,0,240000,,,
40,4,2620,7553,0,2,3,1996,0,605000,,,
41,4,2570,5520,0,2,3,2000,0,625000,,,
42,4,4220,24186,1620,1,3,1984,0,775000,,,
43,5,3595,5639,0,2,3,2014,0,861990,,,
44,3,1570,2280,0,2,3,1922,0,685000,,,
45,3,1280,9656,360,1,4,1959,0,309000,,,
46,3,3160,13603,0,2,3,2003,0,488000,,,
47,3,990,8528,0,1,3,1966,0,210490,,,
48,4,2290,13416,0,2,4,1981,0,785000,,,
49,3,1250,5963,0,1,4,1953,0,450000,,,
50,3,2753,65005,588,1,5,1953,0,1.35E+06,,,
51,3,1190,9199,0,1,3,1955,0,228000,,,
52,5,3150,9134,1510,1,4,1966,0,345000,,,
53,3,1410,4080,410,1,4,1950,0,600000,,,
54,2,1980,8550,990,1,3,1981,0,585000,,,
55,5,2730,6000,600,3,3,1927,0,920000,,,
56,4,2830,5000,0,2,3,1995,0,885000,,,
57,4,2250,4495,0,2,3,2008,0,292500,,,
58,3,2420,4750,0,2,3,2003,0,301000,,,
59,5,3250,14342,0,2,4,1968,0,951000,,,
60,4,1850,9976,0,2,3,1991,0,430000,,,
61,3,2150,21235,560,1,4,1959,0,650000,,,
62,3,1260,8400,0,1,3,1954,0,289000,,,
63,3,2519,8690,0,2,5,1973,0,505000,,,
64,3,1540,1044,0,3,3,2014,0,549000,,,
65,3,1660,6000,550,1,3,1979,0,425000,,,
66,3,2770,3809,1000,2,5,1925,0,317625,,,
67,4,2720,11049,0,2,3,1989,0,975000,,,
68,4,2240,4648,0,2,3,2005,0,287000,,,
69,3,1000,12070,0,1,4,1968,0,204000,,,
70,5,3200,20158,1600,1,3,1965,0,1.33E+06,,,
71,5,4770,50094,1700,1,4,1973,0,1.04E+06,,,
72,3,1260,5612,0,1,4,1972,0,325000,,,
73,4,2750,7807,500,1,5,1916,0,571000,,,
74,4,3300,10250,910,1,3,1946,1,905000,,,
75,3,1960,15681,0,1,3,1967,0,247500,,,
76,4,1160,6400,0,1,4,1975,0,199000,,,
77,3,1810,41800,600,1,5,1980,0,314000,,,
78,3,2320,36847,0,2,3,1992,0,437500,,,
79,3,2070,13241,800,2,5,1910,0,850830,,,
80,3,1980,3478,540,3,4,1929,0,555000,,,
81,3,2190,107593,0,2,4,1983,0,699950,,,
82,3,2920,8113,0,2,3,1950,1,1.09E+06,,,
83,3,1210,33919,0,1,3,1954,0,290000,,,
84,3,2340,10005,880,1,4,1978,0,375000,,,
85,3,1670,4005,500,3,4,1939,0,460000,,,
86,2,1240,2493,0,1,4,1985,0,188500,,,
87,4,3140,28037,0,2,4,1991,0,680000,,,
88,5,2030,12342,0,2,4,1942,0,470000,,,
89,4,2310,9624,0,2,3,1984,0,597750,,,
90,3,1260,3328,560,1,5,1905,0,570000,,,
91,3,1540,12600,380,1,4,1980,0,272500,,,
92,3,2080,5969,1000,1,3,1971,0,329950,,,
93,4,3230,16171,710,2,3,2001,0,480000,,,
94,3,4380,6350,1600,2,3,1900,1,740500,,,
95,3,1590,1102,0,3,3,2010,0,518500,,,
96,2,880,6780,0,1,4,1945,0,205425,,,
97,4,1570,9600,0,1,3,1950,0,171800,,,
98,4,1610,2982,0,3,4,1925,0,535000,,,
99,3,2400,6474,840,1,3,1964,0,660000,,,
100,3,1450,9132,0,1,3,1987,0,391500,,,
101,2,770,6000,0,1,3,1953,0,395000,,,
102,4,2100,4400,380,2,5,1924,0,445000,,,
103,3,2910,10204,0,2,3,1990,0,770000,,,
104,4,2750,17789,770,2,3,1914,1,1.45E+06,,,
105,3,2100,8201,480,1,3,1967,0,445000,,,
106,4,2160,8811,800,1,3,1978,0,260000,,,
107,5,2320,4960,600,2,5,1926,0,822500,,,
108,4,2070,4310,0,2,3,2004,0,430000,,,
109,3,1060,7875,0,1,4,1986,0,212000,,,
110,4,2010,9603,570,1,3,1986,0,660500,,,
111,3,3950,111078,1490,1,3,1989,0,784000,,,
112,3,1270,7198,0,1,3,1916,1,247000,,,
113,6,2300,3404,700,2,3,1920,1,464000,,,
114,5,3300,33474,1430,1,3,1957,1,1.51E+06,,,
115,4,1970,4740,300,2,3,1904,1,410000,,,
116,4,5050,20100,300,3,3,1982,1,2.90E+06,,,
